date,ticker,entry,target,stop,shares,reasoning,cost,score,reasons
2026-01-09,MARA,10.4399995803833,10.78433796252727,10.126799592971802,16,"5.5% move, 100% historical continuation",,,
2026-01-09,RGTI,24.719999313354492,27.191999244689942,23.483999347686765,16,,395.5199890136719,25.0,"['Cont 50%', 'RSI 57']"
