ticker,price,position,rsi,upside_20d,max_pump,volatility,low_20,high_20
AMC,1.4500000476837158,1.1494243423757018,12.244925763078768,59.31033564237609,106.94443754575897,4.686347914897093,1.440000057220459,2.309999942779541
SNDL,1.6399999856948853,4.109585685607827,14.754103486558947,42.682922840260204,63.485998065351566,5.163958252500677,1.6100000143051147,2.3399999141693115
NIO,4.730000019073486,5.357138295562434,46.2427702647577,22.41014669144069,61.45609932916059,4.158427044289471,4.670000076293945,5.789999961853027
ACB,4.269999980926514,6.696432087646066,9.375027939653918,48.94613962350412,59.39849920583907,5.355565295692579,4.119999885559082,6.360000133514404
INO,1.6100000143051147,9.756097797361269,16.77851409322379,68.94409965481877,82.55033632220623,6.781890486648701,1.4900000095367432,2.7200000286102295
SAVA,2.140000104904175,13.235300047175327,27.388540448472966,55.14017619132132,154.0816286810733,7.114257521537399,1.9600000381469727,3.319999933242798
CGC,1.2899999618530273,14.173223098853684,22.608695291616513,84.49613835818678,138.9558367280353,8.745416994969286,1.1100000143051147,2.380000114440918
SMCI,29.899999618530273,14.402603483798465,50.378784503563146,17.491643867258485,95.03789655860943,4.672354658900721,29.020000457763672,35.130001068115234
AI,13.829999923706055,14.90065838275125,46.978017011565925,18.582788929875356,57.26766479022347,4.7528568914764495,13.380000114440918,16.399999618530273
TLRY,9.130000114440918,16.305735354888036,16.814157051434606,71.96056530637335,166.66665745242219,8.700812793033062,7.849999904632568,15.699999809265137
MRVL,83.44999694824219,17.434694534082364,53.72816099538986,12.881965719744032,39.5952089228056,4.510997272055798,81.18000030517578,94.19999694824219
FCEL,7.800000190734863,17.5532012705682,49.23780570909201,39.74358143577621,109.98248145387397,9.247442521014486,7.139999866485596,10.899999618530273
BB,3.859999895095825,20.270257208620187,34.12697076136703,15.284972285074755,37.19676820084843,3.78011607298447,3.7100000381469727,4.449999809265137
SPCE,3.1500000953674316,20.535718087031306,48.235295107620786,28.253963160016404,79.10958501451087,7.545334040184027,2.9200000762939453,4.039999961853027
GME,21.420000076293945,44.9685587403343,32.90870892419933,8.16993461142313,23.130961062526197,2.969562896465477,19.989999771118164,23.170000076293945
