ticker,bot_pattern_score,dump_rate,second_hour_peak_rate,independence_score,spy_correlation,most_common_time
NVVE,50.839496758448746,30.0,13.333333333333334,0.9459874189612184,0.05401258103878163,09:30
UUUU,46.15753250109946,56.666666666666664,13.333333333333334,0.6289383125274864,0.37106168747251356,09:30
IONQ,45.57308128116924,63.33333333333333,16.666666666666664,0.539327032029231,0.46067296797076895,09:30
RKLB,44.69532244132306,66.66666666666666,3.3333333333333335,0.5923830610330765,0.40761693896692347,15:50
ASTS,42.7174839805145,53.333333333333336,6.666666666666667,0.6179370995128626,0.38206290048713737,09:30
CCJ,41.47624756136686,56.666666666666664,13.333333333333334,0.5119061890341716,0.4880938109658284,09:30
ZS,40.878143498813486,30.0,3.3333333333333335,0.7719535874703372,0.2280464125296629,09:30
QBTS,40.5278238272266,60.0,0.0,0.5631955956806648,0.4368044043193352,09:30
S,40.39803980559099,16.666666666666664,6.666666666666667,0.8349509951397747,0.1650490048602253,09:30
RGTI,38.835806055283015,50.0,6.666666666666667,0.5458951513820753,0.4541048486179246,09:30
NVDA,38.45848332168036,66.66666666666666,16.666666666666664,0.3364620830420091,0.6635379169579909,09:30
APLD,37.83802087387662,46.666666666666664,3.3333333333333335,0.5709505218469155,0.4290494781530844,09:30
MRNA,37.76848109707238,23.333333333333332,10.0,0.6942120274268095,0.3057879725731904,15:55
CRWD,36.80265492829907,46.666666666666664,6.666666666666667,0.5200663732074768,0.4799336267925231,09:30
UEC,36.72088084140081,40.0,0.0,0.6180220210350202,0.3819779789649798,09:30
LUNR,36.14792936033161,30.0,3.3333333333333335,0.6536982340082903,0.3463017659917097,09:30
BNTX,35.567487511515175,3.3333333333333335,3.3333333333333335,0.8391871877878793,0.16081281221212074,09:30
AMD,33.301874133605025,53.333333333333336,13.333333333333334,0.33254685334012557,0.6674531466598744,09:30
AI,30.568092487081305,23.333333333333332,6.666666666666667,0.5392023121770326,0.46079768782296743,09:30
