ticker,price,position,rsi,short_ratio,short_pct,squeeze_score
AMC,1.4500000476837158,1.1494243423757018,12.244925763078768,2.82,10.899719984642937,200.70564989454553
SNDL,1.6399999856948853,4.109585685607827,14.754103486558947,0.61,0.8583766513668772,184.18631082783324
TLRY,9.130000114440918,16.305735354888036,16.814157051434606,1.62,16.949269640386827,174.98010759367733
GME,21.420000076293945,44.9685587403343,32.90870892419933,10.21,16.63403162689158,173.17273233546638
NIO,4.730000019073486,5.357138295562434,46.2427702647577,3.28,9.274905146750621,164.80009143967987
LCID,11.239999771118164,27.304342518682066,51.035778229610635,5.72,35.01888564614944,150.2598792517073
SPCE,3.1500000953674316,20.535718087031306,48.235295107620786,3.65,23.164078047454563,149.47898680534792
KOSS,4.309999942779541,25.67567480489956,43.448266563450495,3.63,1.6483054963724424,149.02605863164996
FCEL,7.800000190734863,17.5532012705682,49.23780570909201,1.94,8.172757939815599,142.90899302033978
BLNK,0.7799999713897705,37.49999627470948,49.691989625119824,2.55,14.268686271420423,125.5580141001707
RIVN,19.889999389648438,59.77010423275131,62.50000263737395,3.41,19.67935165600841,94.77989312987474
PLUG,2.319999933242798,67.79660229298045,57.14285106074991,3.21,26.200683251096002,91.11054664626964
BBBY,6.699999809265137,84.07643002580389,59.191175568268875,0.0,0.0,56.73239440592724
