strategy,ticker,trades,basic_wr,basic_avg,basic_total,best_wr,best_avg,best_total,realistic_wr,realistic_avg,realistic_total
Morning Dip (9:30-10:00) → Late Morning (10:30-11:30),NVVE,60,36.666666666666664,-1.0059191572579287,-60.355149435475724,91.66666666666666,8.123007217294518,487.3804330376711,43.333333333333336,-0.07697950200722993,-4.618770120433796
Morning Dip (9:30-10:00) → Late Morning (10:30-11:30),BE,60,45.0,-0.19236197703255745,-11.541718621953446,88.33333333333333,4.643008599632116,278.580515977927,48.333333333333336,-0.37871937909440584,-22.72316274566435
Morning Dip (9:30-10:00) → Late Morning (10:30-11:30),APLD,60,53.333333333333336,0.4384813680513607,26.30888208308164,91.66666666666666,5.006880702054962,300.41284212329776,45.0,0.08433285830900186,5.059971498540111
Morning Dip (9:30-10:00) → Late Morning (10:30-11:30),UUUU,60,51.66666666666667,0.07786196727562333,4.6717180365374,96.66666666666667,4.6076312250114935,276.45787350068963,43.333333333333336,-0.26848753745340476,-16.109252247204285
Morning Dip (9:30-10:00) → Late Morning (10:30-11:30),ASTS,60,53.333333333333336,0.2992997394850752,17.957984369104512,91.66666666666666,4.47529147308308,268.5174883849848,46.666666666666664,0.11598733857738924,6.959240314643354
Morning Dip (9:30-10:00) → Late Morning (10:30-11:30),ARQQ,60,45.0,-0.35912563781415596,-21.547538268849358,95.0,4.691135163807194,281.46810982843164,51.66666666666667,-0.17841699322848845,-10.705019593709308
Morning Dip (9:30-10:00) → Late Morning (10:30-11:30),IONQ,60,45.0,-0.6398568145978744,-38.391408875872465,91.66666666666666,3.2334783151932904,194.00869891159743,35.0,-0.5719012102243177,-34.31407261345906
Morning Dip (9:30-10:00) → Late Morning (10:30-11:30),RGTI,60,50.0,-0.16187816962341656,-9.712690177404994,95.0,3.796620279728064,227.79721678368384,46.666666666666664,-0.4404709374137281,-26.428256244823686
Morning Dip (9:30-10:00) → Late Morning (10:30-11:30),TQQQ,60,51.66666666666667,-0.00401803220710264,-0.24108193242615839,95.0,1.6822068972653974,100.93241383592384,51.66666666666667,-0.14435811606052137,-8.661486963631283
Morning Dip (9:30-10:00) → Late Morning (10:30-11:30),SOXL,60,51.66666666666667,0.272318381409445,16.3391028845667,93.33333333333333,3.3914249915438077,203.48549949262846,48.333333333333336,-0.3446017275817692,-20.676103654906154
Morning Dip (9:30-10:00) → Afternoon (1:00-2:00),NVVE,58,43.103448275862064,-0.4519136928172607,-26.21099418340112,79.3103448275862,6.92293883942714,401.5304526867741,46.55172413793103,0.07532563965855138,4.36888710019598
Morning Dip (9:30-10:00) → Afternoon (1:00-2:00),BE,58,37.93103448275862,-0.32751571494560544,-18.995911466845115,82.75862068965517,4.207920454319664,244.0593863505405,50.0,-0.10458353411547204,-6.0658449786973785
Morning Dip (9:30-10:00) → Afternoon (1:00-2:00),APLD,58,50.0,0.3933117965191155,22.8120841981087,81.03448275862068,4.26165384610489,247.17592307408364,48.275862068965516,-0.11755901243716294,-6.81842272135545
Morning Dip (9:30-10:00) → Afternoon (1:00-2:00),UUUU,58,48.275862068965516,-0.1575891161482425,-9.140168736598065,79.3103448275862,3.9993624879283716,231.96302429984556,43.103448275862064,-0.42148271355754596,-24.445997386337666
Morning Dip (9:30-10:00) → Afternoon (1:00-2:00),ASTS,58,46.55172413793103,0.7396020167747989,42.896916972938335,79.3103448275862,3.8891880913907566,225.5729093006639,46.55172413793103,0.27851097270860414,16.15363641709904
Morning Dip (9:30-10:00) → Afternoon (1:00-2:00),ARQQ,58,46.55172413793103,-0.953443330437092,-55.299713165351335,79.3103448275862,3.599941446519286,208.79660389811858,48.275862068965516,-0.7426121795780363,-43.0715064155261
Morning Dip (9:30-10:00) → Afternoon (1:00-2:00),IONQ,58,31.03448275862069,-1.1685059625832228,-67.77334582982692,75.86206896551724,2.085233752354641,120.94355763656918,34.48275862068966,-1.0757695083218584,-62.39463148266779
Morning Dip (9:30-10:00) → Afternoon (1:00-2:00),RGTI,58,43.103448275862064,-0.6575938170568097,-38.14044138929496,74.13793103448276,2.7447056732180486,159.1929290466468,34.48275862068966,-0.8659304910553245,-50.22396848120882
Morning Dip (9:30-10:00) → Afternoon (1:00-2:00),TQQQ,58,51.724137931034484,-0.14904077784652353,-8.644365115098365,81.03448275862068,1.3836218269806706,80.2500659648789,50.0,-0.144957757561885,-8.40754993858933
Morning Dip (9:30-10:00) → Afternoon (1:00-2:00),SOXL,58,51.724137931034484,0.02124446201586041,1.2321787969199036,87.93103448275862,2.846920170275803,165.12136987599658,46.55172413793103,-0.2972501750194746,-17.240510151129527
Morning Dip (9:30-10:00) → Close (3:30-4:00),NVVE,58,41.37931034482759,-1.3197858888161407,-76.54758155133617,70.6896551724138,6.073694217533264,352.2742646169293,41.37931034482759,-0.5810245626212865,-33.69942463203462
Morning Dip (9:30-10:00) → Close (3:30-4:00),BE,58,44.827586206896555,-0.17861176226507006,-10.359482211374063,82.75862068965517,4.103529537834708,238.00471319441309,50.0,0.00839950645051737,0.48717137413000744
Morning Dip (9:30-10:00) → Close (3:30-4:00),APLD,58,50.0,0.08887131286811728,5.154536146350802,70.6896551724138,3.5696645231889117,207.0405423449569,44.827586206896555,-0.5288177313896671,-30.671428420600694
Morning Dip (9:30-10:00) → Close (3:30-4:00),UUUU,58,50.0,0.20436831249222592,11.853362124549104,75.86206896551724,4.026435308828523,233.53324791205435,43.103448275862064,-0.12279992579860897,-7.1223956963193205
