ticker,price,today_change,today_volume,volume_ratio,intraday_range,from_high,from_low,today_high,today_low
BE,121.8499984741211,1.5416653951009218,23599178,1.5830257505547491,10.210055299972609,5.063607612313792,4.898411357288679,128.02000427246094,116.16000366210938
BBBY,6.699999809265137,13.945572769809145,3767831,1.386598192336567,18.1972733673315,3.7313433898055637,13.945572769809145,6.949999809265137,5.880000114440918
ACB,4.264999866485596,0.5896249225701977,1692350,1.3434334614041215,2.301662360785639,0.9824187395108375,1.3064092123578952,4.3069000244140625,4.210000038146973
APLD,31.920000076293945,-1.0232555773831198,63132830,1.3357267292897588,14.221000001043272,11.215538581294737,2.7023754576809056,35.5,31.08009910583496
BABA,154.5050048828125,6.159826858762041,20015901,1.2983545402416654,6.897493439099023,0.508066650601835,6.357128339468399,155.2899932861328,145.27000427246094
NVVE,4.769999980926514,-0.20920980006059464,29013109,1.2835489311098744,45.15305985911895,19.287213416618233,21.683670614521432,5.690000057220459,3.9200000762939453
SQQQ,66.5999984741211,0.9090885971531737,44994582,1.2782689699491074,2.229264068222414,1.2315286454559482,0.9855975071371592,67.42019653320312,65.94999694824219
UVXY,35.099998474121094,-2.3915479205974366,6431458,1.1157047990451872,3.479019383664239,2.535621775031971,0.9200681600216143,35.9900016784668,34.779998779296875
QQQ,620.4099731445312,-0.2957054006378024,52463049,1.061947428762974,0.7599558784374905,0.3360716401911379,0.42246445502311936,622.4949951171875,617.7999877929688
MSTR,166.91650390625,6.147220290143074,23955419,1.0049240205990089,9.25273555591013,2.218768740218513,6.881286971444456,170.6199951171875,156.1699981689453
XPEV,20.540000915527344,2.239924138982574,6385180,0.936314792330207,3.4017024160163167,0.6329072783454848,2.7513814442550855,20.670000076293945,19.989999771118164
CGC,1.2949999570846558,9.282702077360284,17248703,0.9273506208071192,10.169492381566325,0.3861000306814244,9.745763953271158,1.2999999523162842,1.1799999475479126
UUUU,18.56999969482422,-3.5324691177962664,13593769,0.9159740256239901,6.4850163995599175,5.22348538849724,1.1989063148829748,19.540000915527344,18.350000381469727
LUNR,19.649999618530273,4.967950530384568,11041495,0.9088847090974943,7.63440885575799,1.8829559614061298,5.64515707272033,20.020000457763672,18.600000381469727
NVDA,185.1300048828125,-2.047616464120372,150196094,0.9001870064275743,3.086385042583162,2.2956840533171485,0.7729563535191497,189.3800048828125,183.7100067138672
AMC,1.4500000476837158,-4.605258823761926,27565117,0.8574303576027761,5.555550036607193,4.827581444195017,0.6944437545759019,1.5199999809265137,1.440000057220459
SPXU,48.22999954223633,-0.2275560819287148,3404966,0.8180530862892453,1.3526512742543906,0.827290232183997,0.5210504426535589,48.62900161743164,47.97999954223633
SNDL,1.6399999856948853,1.6738964549463997,1239583,0.8118192177717235,4.153745244654328,2.4390220854836775,1.6738964549463997,1.6799999475479126,1.6130000352859497
RIOT,15.135000228881836,0.5647842994666474,13074652,0.8096882787457826,4.380051292768505,2.345553596747818,1.987871113616535,15.489999771118164,14.84000015258789
SPY,689.4400024414062,0.12053515160981298,58978188,0.7968683651374376,0.45455207266866804,0.17042640241471396,0.2836422689392881,690.614990234375,687.489990234375
TQQQ,54.18050003051758,-0.8438653311708011,59931253,0.7434305582397996,2.308628161529813,1.0142016249559127,1.2814302501541475,54.72999954223633,53.494998931884766
PLTR,176.80999755859375,-3.907610022503394,32607539,0.7166114095080699,6.474742708649095,5.005376520398852,1.3993247174012957,185.66000366210938,174.3699951171875
TSLA,435.8399963378906,2.430081395508954,51117524,0.7113648262039862,2.9514744859478137,0.24091830014902893,2.7040416546091572,436.8900146484375,424.364990234375
TLRY,9.15999984741211,2.5755826917835734,4638819,0.7028492337902006,4.7769642646354304,0.5458536197354702,4.208140358429913,9.210000038146973,8.79010009765625
CLOV,2.5399999618530273,1.5999984741210893,3486451,0.6909117031564596,3.61445437046628,1.5748016714081325,2.0080302058145927,2.5799999237060547,2.490000009536743
NIO,4.739999771118164,-2.2680440345851482,31792789,0.6520744362071179,3.854385982825703,2.3206780343041133,1.4989227768871904,4.849999904632568,4.670000076293945
RIVN,19.8799991607666,0.15062693802705418,24368459,0.6506337471985202,6.3451774192392785,5.3823020490086915,0.913697415513659,20.950000762939453,19.700000762939453
LCID,11.244999885559082,3.4498620418404125,4753876,0.650017365241623,6.648201958457833,2.71231932663214,3.8319479665426703,11.550000190734863,10.829999923706055
MARA,10.4399995803833,5.157122351279697,21631713,0.5914473317256427,8.596137065993293,2.250963791158833,6.205489943150155,10.675000190734863,9.829999923706055
HOOD,115.37000274658203,-0.3282913636440288,12598304,0.565714521781145,3.029768038137459,1.6902114083549913,1.317291616597438,117.31999969482422,113.87000274658203
AMD,204.6999969482422,-2.193127471515266,17920495,0.5412045515495176,3.2508207049150695,2.5597942158081866,0.6737791299120888,209.9398956298828,203.3300018310547
GME,21.420000076293945,1.0377325728170739,3251706,0.5342980706349388,1.6595560878968518,0.0933728183587057,1.5647222442791708,21.440000534057617,21.09000015258789
ASTS,90.55999755859375,3.485310647821982,10277241,0.5291137539578346,8.220946665804618,3.787544608707072,4.271612816173698,93.98999786376953,86.85009765625
SOFI,27.714500427246094,3.1813097448896377,34569767,0.5040362097854544,5.469924446766727,1.228598288551308,4.189849736065265,28.05500030517578,26.600000381469727
COIN,245.5800018310547,1.053410218742168,4531007,0.4979730516875666,3.356039167311664,1.9545577880807796,1.3746137589492946,250.3800048828125,242.25
