Symbol
ANET
AR
ASTS
AVGO
BBAI
BKSY
CCJ
CEG
CHK
CMG
DECK
DIA
DNA
EQT
ETN
GD
GEV
GSAT
IONQ
IWM
KTOS
LEU
LHX
LMT
LNG
LULU
LUNR
MRVL
MU
NKE
NOC
OKLO
OPEN
PLTR
QBTS
QQQ
RDW
RGTI
RIG
RKLB
RRC
RTX
SIDU
SMR
SOFI
SOUN
SPCE
SPY
STX
SWN
TELL
TT
TTD
VIX
VRT
VST
WDC
