ticker,sector,change,close,volume_ratio,direction
APLD,AI_INFRASTRUCTURE,17.971194975396457,37.68000030517578,1.715814671545044,UP
VST,POWER_UTILITIES,10.471439823735663,166.3699951171875,2.0030801057855605,UP
KTOS,SPACE_DEFENSE,9.2848865318235,113.69999694824219,1.1714578615315232,UP
OKLO,NUCLEAR_URANIUM,7.899589349396336,105.30999755859375,2.142055527908178,UP
ASTS,SPACE_DEFENSE,7.85114929552784,97.66999816894531,1.2313320663463745,UP
LEU,NUCLEAR_URANIUM,6.965939717521834,306.19000244140625,0.6799079993235244,UP
RDW,SPACE_DEFENSE,6.809336842879647,10.979999542236328,1.0877201485095187,UP
CEG,POWER_UTILITIES,6.19457429758432,342.5199890136719,1.8868594703377939,UP
AVAV,SPACE_DEFENSE,5.8064701053615515,364.989990234375,0.7909948631932069,UP
MU,AI_INFRASTRUCTURE,5.525658348506424,345.0899963378906,0.8689833741946064,UP
LUNR,SPACE_DEFENSE,-5.450839228576068,18.559999465942383,1.6004396066074669,DOWN
