ticker,conviction,thesis,price,short_pct,dtc,float,change_5d,volume_ratio,entry,stop,target,reasons
BKSY,80,SHORT SQUEEZE,20.81999969482422,24.09,5.36,NANO,7.819783897690247,0.6081411230908288,20.82,18.32,28.11,SI=24% | DTC=5.4 | +8%
WOLF,80,SHORT SQUEEZE,18.93000030517578,64.22,4.64,TINY,5.459607245586806,0.3851320426138372,18.93,16.66,25.56,🔥 SI=64% | DTC=4.6 | +5%
LUNR,79,SHORT SQUEEZE,17.8799991607666,22.07,4.28,NORMAL,17.245896136174444,2.163230177735761,17.88,15.73,22.35,SI=22% | DTC=4.3 | +17% BLEEDING
RDW,75,MOMENTUM,9.029999732971191,19.299999,2.74,SMALL,26.293700874519345,2.596229036490897,9.03,8.13,10.84,SI=19% | +26% BLEEDING | 🚀 +26% 5d
LEU,70,SHORT SQUEEZE,272.5,24.64,4.67,NANO,7.156900011730616,0.8906791522260731,272.5,239.8,340.62,SI=25% | DTC=4.7 | +7%
NNE,64,SHORT SQUEEZE,27.610000610351562,31.72,7.53,MICRO,-3.088800167905592,0.8368405301533756,27.61,24.3,34.51,🔥 SI=32% | DTC=7.5 | MICRO float
RCAT,50,SHORT SQUEEZE,9.15999984741211,21.23,3.53,NORMAL,10.361441408606797,1.1873378578028653,9.16,8.06,11.45,SI=21% | DTC=3.5 | +10% BLEEDING
